created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 02 10:26:19 +0000 2023;1730896166295105978;"Terima kasih Pak Ganjar, atas usahanya menciptakan peluang sejajar bagi semua anak bangsa melalui pendidikan vokasi. @NdmPaul  GPMMD 4Ende https://t.co/IBWJOboR04";0;0;0;0;in;1688424061913956352;1730896166295105978;SalwaLutvita;https://twitter.com/SalwaLutvita/status/1730896166295105978
Sat Dec 02 10:26:19 +0000 2023;1730896166194409692;"Sukses terus, Pak Ganjar! Program ini memberikan harapan baru bagi anak-anak Indonesia untuk tumbuh dan berkembang sesuai potensi masing-masing. @oelil_muhammad  GPMMD 4Ende https://t.co/5YMyAlcouW";0;0;0;0;in;1689572471555670016;1730896166194409692;LoliNurmal1;https://twitter.com/LoliNurmal1/status/1730896166194409692
Sat Dec 02 10:26:18 +0000 2023;1730896164269232517;"Pak Ganjar memberikan bukti bahwa pendidikan yang relevan dengan kebutuhan dunia usaha dapat menciptakan lulusan yang siap bersaing. @oebroetkandar  GPMMD 4Ende https://t.co/PzluUXccHu";0;0;0;0;in;1690335725718515712;1730896164269232517;revalrobii;https://twitter.com/revalrobii/status/1730896164269232517
Sat Dec 02 10:26:12 +0000 2023;1730896138558177786;"Naikkan Taraf Hidup Ekonomi dan Ciptakan Generasi Berkualitas, Ganjar Pranowo Janjikan Program Satu Keluarga Miskin Satu Sarjana  #GanjarPranowo #GanjarMahfudSatset #Pilpres2024  https://t.co/EScZ7vQtXF";0;0;0;0;in;1642743928326877190;1730896138558177786;BanyuwangiNet_;https://twitter.com/BanyuwangiNet_/status/1730896138558177786
Sat Dec 02 10:26:10 +0000 2023;1730896128256930129;"@investorgabut sebelum mega vs jokowi, suara ganjar dipastikan ke prabowo.  setelah mega vs jokowi, itungan ini masuk akal. suara ganjar ke anies.  pertanyaannya,  1. apakah suara anies sebesar itu diputaran 1? 2. grasroot pdip kebanyakan anti pks n fpi, apakah mereka akan beralih ke anies?";0;0;0;0;in;1210505846553079808;1730750087918145879;djoniecash2;https://twitter.com/djoniecash2/status/1730896128256930129
Sat Dec 02 10:26:01 +0000 2023;1730896092961939726;"@DedynurPalakka @EdiManik11 @ganjarpranowo Tidak usah berasumsi...... Fakta persidangan sudah ingkrah !!! Tapi bila anda punya barang bukti prihal korupsi e-KTP untuk Ganjar Pranowo silahkan lapor ulang.  Politik model gini, narasi cuma asumsi 🤮  ⛔ Pilih PSI !!!";0;1;0;1;in;1629815240790773760;1730617348678365319;1973Suharjito;https://twitter.com/1973Suharjito/status/1730896092961939726
Sat Dec 02 10:25:36 +0000 2023;1730895989257724258;"Masyarakat Rote, NTT yang begitu kompak dan totalitas kala menyambut Capres @ganjarpranowo  Dengan suguhan pertunjukan adat khas daerah mereka, semakin menambah semarak acara sambutan tersebut.   Gaspol Ganjar-Mahfud ✊️🤟🇲🇨  Pak bawa'in oleh-oleh kuda imut itu dong🤭 https://t.co/7NyXgbQ8Y9";0;0;13;25;in;1279643013455605760;1730895989257724258;Cintada16;https://twitter.com/Cintada16/status/1730895989257724258
Sat Dec 02 10:25:36 +0000 2023;1730895987441647766;"Tata Pemerintahan Harus Dikelola Oleh Presiden &amp  Wapres. Mengerti Peran &amp  Fungsinya Sbg Bapak Administrasi Negara Mimpim Birokrasi ASN &amp  TNI/POLRI Disebut Aparatur Negara, Memiliki Jiwa &amp  Semangat Nation Character Building &amp  Utamakan Penegakan Hukum. Ganjar-Mahfud #TaatKonstitusi https://t.co/OSUo0E0hcs";0;0;0;0;in;2898088374;1730895987441647766;KamarullahH;https://twitter.com/KamarullahH/status/1730895987441647766
Sat Dec 02 10:25:25 +0000 2023;1730895942315045016;"@ganjarpranowo Dengan antusias para masyarakat Kupang ini adlah semangat baru buat pak Ganjar untuk terus melangkah di jalan kebaikan 💪💪💪";0;0;0;0;in;1629779773001187329;1730825211342405780;bimodwicahyo4;https://twitter.com/bimodwicahyo4/status/1730895942315045016
Sat Dec 02 10:25:18 +0000 2023;1730895911105212656;"@prastow Maklum, kepala BP2MI itu pendukung ganjar yg berkepentingan mendiskreditkan pemerintahan Jokowi. Bagusnya dipecat saja sih";0;0;0;0;in;936868397140262912;1730836743690371478;tentramin;https://twitter.com/tentramin/status/1730895911105212656
Sat Dec 02 10:25:16 +0000 2023;1730895904021086495;"@ucokcimol @BangPino__ Keren ini..anak2 muda yg berpotensi jadi pemimpin masa depan dgn gagasan2nya..di kubu Amin ada Mikail Baswedan dan adik2nya..di kubu GaMa ada Alam Ganjar..";0;0;0;0;in;3183230775;1730863568944505239;wintartosp;https://twitter.com/wintartosp/status/1730895904021086495
Sat Dec 02 10:25:08 +0000 2023;1730895867694194887;"@VIVAcoid Tapi rakyat lebih suka pilih ganjar - mahfud https://t.co/lqMQXGuzrr";0;0;0;0;in;1677934949612257280;1730641048907681804;bagus_int;https://twitter.com/bagus_int/status/1730895867694194887
Sat Dec 02 10:25:04 +0000 2023;1730895854582878227;"@sami86pilang ❤Ganjar Mahfud Cr3ative❤ #Sami86Genkz  🙏";0;1;1;1;in;4144258573;1730851394360586287;mbambangsugiono;https://twitter.com/mbambangsugiono/status/1730895854582878227
Sat Dec 02 10:25:03 +0000 2023;1730895849625092534;"Terima kasih kepada Pak Ganjar atas dedikasinya dalam memajukan pariwisata lokal. Semoga ini menjadi contoh positif bagi pemimpin di seluruh Indonesia. @raja_harahap12  GPMMD 4Ende https://t.co/8hdCl3VDKt";0;0;0;0;in;1686219501820633088;1730895849625092534;veloardnsyh_;https://twitter.com/veloardnsyh_/status/1730895849625092534
Sat Dec 02 10:24:57 +0000 2023;1730895824039875032;"Inovasi dalam pengembangan pariwisata adalah kunci keberhasilan. Selamat untuk Pak Ganjar dan Pak Mahfud MD yang memiliki keberanian untuk berinovasi. @raikan85  GPMMD 4Ende https://t.co/c3aDj60h7T";0;0;0;0;in;1690433784582434818;1730895824039875032;rochneng;https://twitter.com/rochneng/status/1730895824039875032
Sat Dec 02 10:24:53 +0000 2023;1730895806859972716;"Pak Ganjar menetapkan target yang menantang, namun dengan pembaruan kualitas dan keterlibatan masyarakat, saya yakin hal tersebut dapat tercapai. @Raintitik  GPMMD 4Ende https://t.co/dlpfkbVAP4";0;0;0;0;in;1686227675252457472;1730895806859972716;charmingbl49018;https://twitter.com/charmingbl49018/status/1730895806859972716
Sat Dec 02 10:24:47 +0000 2023;1730895781891297566;"Dukungan penuh untuk Pak Ganjar dan Pak Mahfud MD yang ingin memajukan pariwisata daerah. Semoga tercapai visi indah untuk destinasi yang lebih baik. @rozzak77  GPMMD 4Ende https://t.co/pqdZp3AczP";0;0;0;0;in;1687338782323015680;1730895781891297566;ivonaaaajy;https://twitter.com/ivonaaaajy/status/1730895781891297566
Sat Dec 02 10:24:44 +0000 2023;1730895770222825496;"@PartaiSocmed Sama Tum, tadinya gwa juga dukung Ganjar. Padahal kalo nurut Pakde jadi wapresnya Prabowo, mereka bakal menang 1 putaran. Periode berikutnya baru deh Ganjar yang jadi presiden. Tapi terbukti dia gak punya integritas membangun negara. Cuma penjilat partai yang ambisinya kerdil.";0;0;0;0;in;726934673683677184;1730893344367337738;nusantaranimist;https://twitter.com/nusantaranimist/status/1730895770222825496
Sat Dec 02 10:24:42 +0000 2023;1730895759552528527;"Keputusan Pak Ganjar menghadirkan kebebasan minat anak bangsa adalah langkah bijak menuju pemenuhan kebutuhan sumber daya manusia yang berkualitas. @ndet_b  GPMMD 4Ende https://t.co/DbKs6nDnZP";0;0;0;0;in;1688475117603708928;1730895759552528527;JawartaJor1;https://twitter.com/JawartaJor1/status/1730895759552528527
